Game,Score,Reward,Loss,Q_value
0.0,1.5,-12.101432640939297,2.8655695115265094,-11.925458431243896
1.0,1.5,-2.496739363978306,0.22985719239837368,-1.0264966487884521
2.0,1.5,-3.6842475698460664,0.43306639201636676,-1.4832069873809814
3.0,1.5,-5.023528209054838,0.5504188427605249,-3.0841258764266968
4.0,1.5,-6.158234840141814,0.8534207975432809,-3.870374083518982
5.0,1.5,-5.690051211472702,0.7131195670925081,-3.3843233585357666
6.0,1.5,-3.3746559013633526,0.20457818899390307,-0.6761666834354401
7.0,1.5,-3.374373535801306,0.16963160608124023,-0.6488820016384125
8.0,1.5,-4.004329195097632,0.5448111808098753,-2.324537795037031
9.0,1.5,-7.646460606707471,1.6069272336944078,-6.291059136390686
10.0,1.0,-4.664193773225239,0.587088557723606,-2.660854697227478
11.0,1.5,-3.9514970675356853,0.2351519324227047,-1.1995958387851715
12.0,1.5,-3.7381636496217197,0.17902937442263464,-0.8448425531387329
13.0,1.0,-4.180169279515991,0.1731754388205445,-1.4219707250595093
14.0,1.5,-11.28905322488004,2.2417858706897724,-10.097822614014149
15.0,1.5,-12.135634488557976,2.710766918584318,-10.1090122833848
16.0,1.5,-3.8957505108634347,0.381918945400554,-0.7935877442359924
17.0,2.0,-2.980172730778711,0.10666668566231902,-0.4176904782652855
18.0,1.5,-3.784201806034677,0.2909132924480348,-1.6682269871234894
19.0,2.0,-3.4315920033273324,0.1961316734844712,-0.4516461342573166
20.0,2.0,-1.9451942254914987,0.07875513854020501,-0.04774569347500801
21.0,1.5,-4.3558378985509965,0.775454833275742,-3.697420597076416
22.0,1.5,-2.55968984687591,0.15223213762900312,-0.39151648059487343
23.0,1.5,-3.223472350677426,0.26607482353306944,-1.1725325882434845
24.0,1.5,-11.85355939376301,2.5098251455153027,-10.512680768966675
25.0,2.0,-3.1146344859720605,0.1625190790602568,-0.48970338702201843
26.0,1.5,-3.756180488472653,0.3520691743306919,-1.3733181059360504
27.0,2.0,-3.6828418244180186,0.165170408482633,-0.6293381005525589
28.0,2.0,-3.9311048628360465,0.24681972122404308,-1.367602825164795
29.0,1.5,-2.5458572940651893,0.13409063028267265,-0.0910940021276474
30.0,1.5,-3.799907190034702,0.5124086490060934,-1.6482112407684326
31.0,2.0,-3.967304340209142,0.19010800732044375,-0.9272633790969849
32.0,1.5,-2.7165483319884105,0.13990950298012922,-0.24611106514930725
33.0,1.5,-2.836226986922993,0.23877108644201306,-0.8724964261054993
34.0,1.5,-4.627994571525987,0.8289330759076903,-2.1332247257232666
35.0,2.0,-2.4967145660155037,0.13310624695215167,-0.2089599180035293
36.0,2.0,-4.341819791291972,0.6243566147102217,-3.069023013114929
